Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Latitude,Longitude,Ratings,Review
NKS Restaurant @ Circuit Road,"18B Circuit Rd, Singapore 372018",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.329181051,103.8882484,3.7,3.0
NKS Restaurant @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.385295563,103.7661705,1.8,14.0
NKS Restaurant @ Jurong West Street 75,"762 Jurong West Street 75, Singapore 640762",No,Yes,No,Yes,"Indian, Thai, Western, Seafood, Opens 24 Hours",1.348741647,103.6977396,3.3,118.0
NKS Restaurant @ Choa Chu Kang Avenue 1,"204 Choa Chu Kang Ave 1, Singapore 680204",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.380791257,103.7492267,3.2,291.0
NKS Restaurant @ Macpherson Road,"179 Macpherson Rd, Singapore 348539",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.330300157,103.8751953,3.9,24.0
Hajjah Jamillah Rajmohamed Muslim Food @ Haig Road Food Centre,"14 Haig Rd, Singapore 430014 #01-09",No,Yes,No,Yes,Indian,1.31514205,103.8956095,4.4,42.0
Sangwoo Street @ Yishun Central 1 (Kedai Kopi),"925 Yishun Central 1, Singapore 760925 #01-211",No,Yes,Yes,No,Korean,1.428230851,103.8374503,3.8,33.0
BAKAR @ Jurong Point,"1 Jurong West Central 2, Singapore 648886 #B1-42/43",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",1.339452004,103.706685,No Rating,No Reviews
BAKAR @ Pioneer Mall,"638a Jurong West Street 61, Singapore 641638 #01-22",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",1.34195861,103.6975931,No Rating,No Reviews
BAKAR @ Tampines Mart,"9 Tampines Street 32, Singapore 529286 #01-01",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",1.354364936,103.9600422,No Rating,No Reviews
BAKAR @ IMM,"2 Jurong East Street 21, Singapore 609601 #03-55",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",1.334917588,103.7468771,2.8,4.0
Tok'Shiq Corner @ Woodlands Street 81,"Blk 806 Woodlands Street 81, Singapore 730806",No,Yes,No,Yes,"Malay, Snacks",1.4409871,103.7867592,3.5,113.0
Special Chinese Rojak @ Bedok Road,"324 Bedok Rd, Singapore 469493",No,Yes,No,Yes,"Chinese, Snacks",1.330982058,103.9482152,3.9,8.0
Alpaz Nasi Arab @ Golden Mile Food Centre,"505 Beach Rd, Singapore 199583 #B1-20",No,Yes,No,Yes,"Yemen, Mediterranean",1.303141753,103.8638776,5.0,35.0
Saporita @ East Coast Road,"125 E Coast Rd, Singapore 428810",No,Yes,No,Yes,Italian,1.306055727,103.9047513,4.7,57.0
Saporita @ Makansutra Glutton Bay,"8 Raffles Ave., Singapore 039802 #01-15L",No,Yes,No,Yes,Italian,1.28935083,103.8559013,4.7,1494.0
Aliff Nasi Lemak @ Serangoon Garden Way,"49a Serangoon Garden Way, Singapore 555945 #01-27",No,Yes,No,Yes,Malay,1.362736808,103.8661622,4.1,104.0
Aliff Nasi Lemak @ Bedok North Street 3,"511 Bedok North Street 3, Singapore 460511 #01-19",No,Yes,No,Yes,Malay,1.333219933,103.9305815,4.1,79.0
Azme Corner Nasi Lemak @ Bedok North Street 2,"122 Bedok North Street 2, Block 122, Singapore 460122",No,Yes,No,Yes,"Malay, Thai, Nasi Lemak",1.3286172,103.9377872,4.4,181.0
The Nasi Padang By Butterscotch @ Sin Ming Road,"22 Sin Ming Rd, Singapore 570022 #01-210",No,Yes,No,Yes,"Indonesian, Malay",1.357284441,103.8393967,4.8,28.0
Daliman’s Corner @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-32",No,Yes,No,Yes,"Malay, BBQ",1.266568132,103.819248,3.9,34.0
FARASHA by INTAN @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-31",No,Yes,No,Yes,"Malay, Indonesian",1.266568132,103.819248,3.5,39.0
People's Nasi Padang @ UE Print Media Hub,61 Tai Seng Ave #B1-02,No,Yes,No,Yes,"Indonesian, Malay",1.3387514,103.8877798,4.3,17.0
ABC Food Corner @ Havelock Road,"743 Havelock Rd, Singapore 169656",No,Yes,Yes,No,"Indian, Opens 24 Hours",1.289437219,103.8273586,3.8,1024.0
Shami Banana Leafs Delights @ Causeway Point (Food Republic),"1 Woodlands Square, Singapore 738099 #04-01/04",Yes,No,No,Yes,"Indian, Beverages, Chicken, Lamb, Seafood, Vegetarian",1.436007845,103.7856887,3.4,35.0
Sinar Malay Seafood (Jurong West),"456 Jurong West Street 41, Singapore 640456",No,Yes,No,Yes,"Malay, Seafood",1.350675728,103.7200224,5.0,2.0
Sinar Malay Seafood @ Bukit Batok Street 31 (Kedai Kopi),"376 Bukit Batok Street 31, Singapore 650376",No,Yes,No,Yes,"Malay, Seafood",1.358317052,103.7495799,2.5,6.0
Sabira Indian Muslim Food @ Choa Chu Kang Drive,"787B Choa Chu Kang Dr, Singapore 682787",No,Yes,No,Yes,Indian,1.395361845,103.7481394,4.0,54.0
Sufyan Indian Muslim Food @ Redhill Lane,"85 Redhill Ln, Singapore 150085 #01-24",No,Yes,No,Yes,Indian,1.2873076,103.8183112,4.5,11.0
SRP Indian Muslim Food @ Ghim Moh Link,"29a Ghim Moh Link, Singapore 271029 #01-03",No,Yes,No,Yes,Indian,1.308492881,103.7845981,2.2,5.0
SRP Indian Muslim Food @ Buangkok Crescent,"982 Buangkok Cres, Singapore 530982 #02-01",No,Yes,No,Yes,Indian,1.380850355,103.8793091,3.0,4.0
SRP Indian Muslim Food @ Dover Crescent,"28 Dover Cres, Singapore 130028",No,Yes,No,Yes,Indian,1.304460927,103.7817797,3.5,45.0
Zham Zham Muslim Food @ Tekka Food Centre,"665 Buffalo Rd, Singapore 210665 #01-217",No,Yes,No,Yes,Indian,1.306177054,103.8506113,4.1,117.0
KhairunMiyah Crispy Prata @ Tampines Street 21,"201c Tampines St. 21, Singapore 523201 #01-01",No,Yes,No,Yes,Indian,1.352824017,103.9529801,4.6,145.0
Mufiz Prata Corner @ Lorong 12 Geylang,"Lor 12 Geylang, Singapore 398993",No,Yes,Yes,No,"Indian, Opens 24 Hours",1.31102592,103.8783784,4.1,240.0
Mohamad's Teh Tarik Eating House @ Tampines Central 1,"503 Tampines Central 1, Singapore 520503",No,Yes,Yes,No,"Indian, Malay",1.355803357,103.9451029,3.4,206.0
Nooh Indian Muslim Food,"Block 65 Circuit Rd, Singapore 370065 #01-361",No,Yes,No,Yes,Indian,1.3274004,103.8872037,4.7,11.0
Al Bismi Indian Muslim Food @ Woodlands Street 81,"806 Woodlands Street 81, Block 806, Singapore 730806",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.4409871,103.7867592,4.1,20.0
Al Bismi Muslim Food @ Old Airport Road,"17 Old Airport Rd, Singapore 397972 #01-13",No,Yes,No,Yes,Indian,1.307343984,103.8840177,4.7,18.0
Haji Johan Indian Muslim Food / Temasek Indian Rojak @ Buffalo Road,"665 Buffalo Rd, Singapore 210665",No,Yes,No,Yes,Indian,1.306177054,103.8506113,4.1,33.0
Mohamed Javed Indian Muslim Food @ Fernvale Street,"473 Fernvale St, Singapore 790473",No,Yes,No,Yes,Indian,1.397798747,103.8816988,4.1,163.0
Mr K Prata @ King George's Avenue,"Blk 803 King George's Ave, Singapore 200808 #01-206",No,Yes,No,Yes,Indian,1.3088061,103.861312,3.6,20.0
Mr K Prata @ Tampines Street 11,"139 Tampines St. 11, Singapore 521139",No,Yes,No,Yes,Indian,1.346155872,103.9445074,3.8,26.0
Mr K Prata @ Anchorvale Link,"303 Anchorvale Link, Singapore 540303 #01-01",No,Yes,No,Yes,Indian,1.387381945,103.8906061,3.5,20.0
SA Deen Indian Muslim Food @ Bedok Reservoir Road,"151 Bedok Reservoir Rd, Block 151, Singapore 470151",No,Yes,No,Yes,Indian,1.3355762,103.9115458,4.3,92.0
280 Indian Muslim Food @ Tampines Street 22,"280 Tampines Street 22, Block 280, Singapore 520280",No,Yes,No,Yes,Indian,1.3475352,103.9517028,4.1,23.0
Jamirah Indian Muslim Food @ Elias Road,"623 Elias Rd, Singapore 510623",No,Yes,No,Yes,Indian,1.377905331,103.9423358,3.7,27.0
Rohana Indian Muslim Food @ Hougang Central,"805 Hougang Central, Singapore 530805 #01-116",No,Yes,No,Yes,Indian,1.370650882,103.8943783,3.0,42.0
Dapur Hassan @ Tampines Street 86,"872c Tampines Street 86, Singapore 528588",No,No,No,Yes,,1.355226471,103.9316263,4.4,29.0
Al Hawa @ Sembawang Close,"334a Sembawang Close, Singapore 751334",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.448049336,103.816349,3.5,11.0
Al Hawa @ Edgedale Plains,"660a Edgedale Plains, Singapore 821660",No,Yes,No,Yes,Indian,1.402621973,103.9165196,2.7,11.0
BBQ House by Kampong House SG,"9 Jurong West Ave 5, Singapore 649487 #01-09",Yes,No,No,Yes,"BBQ, Singaporean, Seafood",1.349080754,103.7028813,2.8,5.0
Mr Biryani @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957",Yes,No,No,Yes,"Indian, Dhum Biryani",1.297411248,103.7875263,3.4,16.0
Mr Biryani @ Chander Road,"11 Chander Rd, Singapore 219529",Yes,No,No,Yes,"Indian, Dhum Biryani",1.307858026,103.8509755,4.4,2291.0
Mr Biryani @ Norris Road,"32 Norris Rd, Singapore 208274",Yes,No,No,Yes,"Indian, Dhum Biryani",1.307843603,103.8539438,4.4,2291.0
Kebabs Faktory @ West Mall,"1 Bt Batok Central, Singapore 658713 #01-42",Yes,No,No,Yes,"Mediterranean, Kebabs",1.349921529,103.749172,4.0,114.0
Kebabs Faktory @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957 #01-34",Yes,No,No,Yes,"Mediterranean, Kebabs",1.297411248,103.7875263,3.5,64.0
Kebabs Faktory @ Shenton Way,"1 Shenton Way, Singapore 068803 #01-06",Yes,No,No,Yes,"Mediterranean, Kebabs",1.27929479,103.8505526,3.9,135.0
Kebabs Faktory @ Sengkang Grand Mall,"70 Compassvale Bow, Singapore 544692 #01-10",Yes,No,No,Yes,"Mediterranean, Kebabs",1.383894176,103.8924188,3.9,70.0
Kebabs Faktory @ Tanglin Mall,"163 Tanglin Rd, Singapore 247933 #B1-120",Yes,No,No,Yes,"Mediterranean, Kebabs",1.304853421,103.8238835,3.9,77.0
Kebabs Faktory @ Joo Chiat Road,"198 Joo Chiat Rd, Singapore 427469 #01-01",Yes,No,No,Yes,"Mediterranean, Kebabs",1.31225473,103.9001636,4.3,50.0
Kebabs Faktory @ Funan,"107 North Bridge Rd, Singapore 179105 #02-31",Yes,No,No,Yes,"Mediterranean, Kebabs",1.291347597,103.8499898,4.0,210.0
Sinar Malay Seafood @ Ang Mo Kio Avenue 5,"608 Ang Mo Kio Ave 5, Singapore 560608 #01-2771",No,Yes,No,Yes,"Malay, Seafood",1.3785821,103.8367603,3.9,47.0
Al Afrida Restaurant @ Yung Kuang Road,"66 Yung Kuang Rd, Singapore 610065 #01-89/91",No,Yes,Yes,No,"Indian, Thai, Seafood",1.332059531,103.7229185,2.6,40.0
Al Afrida Restaurant @ Bedok Reservoir Road,"117 Bedok Reservoir Rd, Singapore 470117 #01-72",No,Yes,Yes,No,"Indian, Thai, Seafood",1.331413249,103.9086889,3.7,54.0
Fried Rice Story @ Bukit Merah View,"116 Bukit Merah View, Singapore 151116 #01-253",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Malay, Beef, Asian, Chicken",1.285134271,103.8215322,3.9,24.0
Texas Lone Star @ Sengkang Kopitiam Square,"10 Sengkang Square, Kopitiam Square, Singapore 544829 #01-54",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.391620261,103.8936783,2.3,25.0
Texas Lone Star @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524 #01-03",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.385295563,103.7661705,1.9,13.0
Texas Lone Star @ Jalan Kayu,"244 Jln Kayu, Singapore 799468",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.39777892,103.8733651,3.3,22.0
Texas Lone Star @ Tanjong Katong Road,"364 Tanjong Katong Rd, Singapore 437123",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.303044376,103.8966823,3.2,11.0
Texas Lone Star @ Bedok North Street 4,"87 Bedok North Street 4, Singapore 460087 #01-191",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.332502614,103.9385871,2.8,13.0
Susan's Rojak @ Hougang Street 51,"21 Hougang St 51, Singapore 538719 #01-42",No,No,No,Yes,"BBQ, Seafood",1.379317835,103.8878471,4.5,4.0
FAZS Satay & Muslim Food @ Yishun Street 31,"333C Yishun Street 31, Singapore",No,Yes,No,Yes,"Chicken, Singaporean, Seafood, Malay, BBQ, Beef, Lamb",1.43189,103.8457902,4.6,16.0
CAFE O @ Raffles Holland V,"118 Holland Ave, Singapore 278973",Yes,No,Yes,No,"Dessert, Beverages, Vegetarian, Seafood, Malay, Indian, Beef, Lamb, BBQ, Indonesian",1.310563515,103.7961072,3.1,288.0
Queenstown Lontong,"Blk 38A Margaret Dr, #01-27, Singapore 142038 #01-27",No,Yes,No,Yes,"Malay, Vegetarian, Chicken",1.2974259,103.8047105,4.5,209.0
Yes Nasi Kukus @ Woodlands Street 11,"167 Woodlands Street 11, Singapore 730167",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",1.433593706,103.7758841,4.0,44.0
Yes Nasi Kukus @ Toh Guan Road,"48 Toh Guan Rd E, Singapore 608586",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",1.336773733,103.7543622,4.5,30.0
Aziza Putu Piring @ Marine Parade Central,"84 Marine Parade Central, Singapore 440084 #01-02",No,Yes,No,Yes,"Dessert, Malay",1.30228521,103.9062887,3.8,6.0
Nasi Lemak Ayam Taliwang @ Plaza Singapura (Kopitiam),"68 Orchard Rd, Singapore 238839 #06-15/20",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.30083413,103.8450727,4.6,248.0
Nasi Lemak Ayam Taliwang @ Kaki Bukit,"11 Kaki Bukit Rd 4, Singapore 417806",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.33921779,103.9121056,4.6,67.0
Nasi Lemak Ayam Taliwang @ Admiralty Place (Cantine),"678a Woodlands Avenue 6, Singapore 731678 #02-05",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.440363676,103.8015374,4.2,100.0
Nasi Lemak Ayam Taliwang @ The Learning Lab Building (Foodfare),"309 Choa Chu Kang Ave 4, Singapore 680309 #01",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.38525197,103.7458642,4.6,176.0
Nasi Lemak Ayam Taliwang @ Hillion Mall,"17 Petir Rd, Singapore 678278",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.378431008,103.7628428,4.4,51.0
Nasi Lemak Ayam Taliwang @ Canberra Plaza,"133 Canberra Vw, Singapore 750133 #01-21/22/23",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.4434955,103.8303454,4.4,143.0
Nasi Lemak Ayam Taliwang @ SMU,"90 Stamford Rd, Singapore 178903 #01-73",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.297925266,103.8488508,4.4,103.0
Nasi Lemak Ayam Taliwang @ Tampines Street 81,"820 Tampines Street 81, Singapore 520820 #01-506",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.347929653,103.9361199,4.3,113.0
Nasi Lemak Ayam Taliwang @ Gardens by the Bay,"18 Marina Gardens Drive, Singapore 018953",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.281758261,103.8615857,4.6,125.0
Nasi Lemak Ayam Taliwang @ Hougang Street 21,"212 Hougang St 21, Singapore 530212",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",1.359520873,103.88834,4.3,146.0
Naina's Kitchen @ Yishun Park Hawker Centre,"51 Yishun Ave 11, #01-13, Singapore 768867 #01-13",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",1.424987863,103.8447475,3.6,65.0
Bismi Briyani @ Yishun Park Hawker Centre,"55 Yishun Ave 11, Singapore #01-05",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",1.424436,103.845123,4.1,99.0
Ayu Cooking Indonesia Cuisine @ Yishun Park Hawker Centre,"51 Yishun Ave 11, Singapore 768867 #01-34",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",1.424987863,103.8447475,4.1,20.0
Chicky Fun Chicken Rice @ Jurong Point (Cantine),"1 Jurong West Central 2, Singapore 648886 #B1-42/43/44",Yes,No,No,Yes,"Asian, Chicken",1.339452004,103.706685,1.9,11.0
Chicky Fun Chicken Rice @ Greenwich V (Picnic),"1 Seletar Rd, Singapore 807011 #01-09/10",Yes,No,No,Yes,"Asian, Chicken",1.387367695,103.869348,3.0,2.0
Chicky Fun Chicken Rice @ Banda Street (Kopitiam),"5 Banda St, Singapore 050005",Yes,No,No,Yes,"Asian, Chicken",1.2811974,103.8434374,4.0,3.0
Chicky Fun Cafe @ Connection One (Tower 1),"168 Jalan Bukit Merah, Singapore 150168 #01-06",Yes,No,No,Yes,"Asian, Chicken",1.282931863,103.8188002,2.8,8.0
Chicky Fun Cafe @ Fusionopolis One,"1 Fusionopolis Way, Singapore 138632 #B1-24",Yes,No,No,Yes,"Asian, Chicken",1.299598572,103.7876409,3.5,32.0
Chicky Fun Chicken Rice @ Changi General Hospital (Kopitiam),"2 Simei St 3, Singapore 529889 #01-20",Yes,No,No,Yes,"Asian, Chicken",1.3408259,103.9494655,2.5,11.0
Edmond Chicken Rice @ Tanglin Halt,"48a Tanglin Halt Rd, Singapore 148813 #01-028",Yes,No,No,Yes,"Chicken, Asian, Vegetarian, Chicken Rice",1.300544075,103.797738,4.6,167.0
Chopstix & Rice @ Suntec City Mall Tower 4,"3 Temasek Boulevard, East Wing, Singapore 038983 #B1-100/101",Yes,No,No,Yes,"Malay, Vegetarian, Chicken, Seafood, Indonesian, Beef, Lamb",1.2959319,103.8590145,4.5,755.0
Warung Penyet (MR3) @ The Food Market Century Square,"2 Tampines Central 5, Singapore 529509 #03-19",Yes,No,Yes,No,"Vegetarian, Singaporean, Malay, Chicken, Fusion, Thai, Korean, Japanese, Chinese, Seafood",1.352368296,103.9438123,2.6,16.0
Soldier Chicken @ Eunos Crescent,"7 Eunos Cres, Singapore 400007",Yes,No,No,Yes,"Western, Chicken",1.32065506,103.9043958,3.5,35.0
Soldier Chicken @ Hougang Ave 4,"682 Hougang Ave 4, Singapore 530682 #01-300",Yes,No,No,Yes,"Western, Chicken",1.373618304,103.8857489,3.1,31.0
Ah Lim Nasi Lemak @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-22",No,Yes,No,Yes,"Malay, Asian, Nasi Lemak",1.311584337,103.759907,4.2,26.0
Monster Chili Mala Hot Pot (S4) @ Great World City (Food Junction),"1 Kim Seng Promenade, Singapore 2379941 #03-116",Yes,No,No,Yes,"Western, Malay, Vegetarian, Beverages, Singaporean, Seafood, Chicken, Dessert, Fusion, Indonesian, Chinese, Japanese, Korean, Thai, Indian, Italian",1.2938024,103.831758,2.3,16.0
Fire Western N Grill (S18)@Foodjunction Lot One,"11 Choa Chu Kang Ave 4, Singapore 689812 #04-14/15/16",Yes,No,No,Yes,"Western, Malay, Vegetarian, Beverages, Singaporean, Seafood, Chicken, Dessert, Fusion, Indonesian, Chinese, Japanese, Korean, Thai, Indian, Italian",1.3849388,103.7450225,1.6,12.0
Uncle Penyet @ Vertex,"33 Ubi Ave 3, Singapore 408868 #01-08",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",1.332929703,103.8941077,No Rating,No Reviews
Devil Chilli Mala Hot Pot (S6) @ Jewel Changi Airport (Five Spice),"78 Airport Boulevard, Singapore 819666 #B2-238",Yes,No,No,Yes,"Singaporean, Beverages, Vegetarian, Seafood, Western, Beef, Lamb, BBQ, Mediterranean, Indian, Malay, Korean, Asian, Japanese, Thai, Italian, Indonesian, Fusion",1.360231067,103.9894572,No Rating,No Reviews
Padang Lezat (S11) @ Jewel Changi Airport (Five Spice),"78 Aiport Boulevard, Singapore 819666 #B2-238/239/240",Yes,No,No,Yes,"Singaporean, Beverages, Vegetarian, Seafood, Western, Beef, Lamb, BBQ, Mediterranean, Indian, Malay, Korean, Asian, Japanese, Thai, Italian, Indonesian, Fusion",1.360231067,103.9894572,3.7,13.0
Fitra Chicken Rice (MR2) @ Rivervale Mall (Food Junction),"11 Rivervale Crescent, Singapore 545082 #01-01/03",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.39250411,103.9044837,No Rating,No Reviews
Fitra Chicken Rice (S9) @ United Square (Food Dynasty),"101 Thomson Road, Singapore 307591 #B1-02",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.317428008,103.8436708,No Rating,No Reviews
Fitra Chicken Rice (S2) @ Northshore Plaza II (Cantine),"418, Northshore Drive, Singapore 820418 #02-07-09",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.417961431,103.9013218,No Rating,No Reviews
Fitra Chicken Rice (S18) @ Tampines Mall (Kopitiam),"4, Tampines Central 5, Singapore 529510 #04-27-29",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.352504683,103.9446826,No Rating,No Reviews
Fitra Chicken Rice (S16) @ Lot One (Food Junction),"21 Choa Chu Kang Avenue 4, Singapore 689812 #04-14/15/16",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.38493874,103.7450225,No Rating,No Reviews
Fitra Chicken Rice (MR3) @ Admiralty Place (Cantine),"678a, Woodlands Avenue 6, Singapore 731678 #02-05",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.440363676,103.8015374,5.0,1.0
Fitra Chicken Rice (S15) @ 313 Somerset (Food Republic),"313 Orchard Rd, Singapore 238895 #05",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.301014364,103.8383607,3.6,32.0
Fitra Chicken Rice (S10) @ Century Square (Food Market),"2 Tampines Central 5, Singapore 529509 #03-19",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.352368296,103.9438123,3.4,115.0
Rasa Sindo Nasi Padang @ Pioneer Mall,"638a Jurong West Street 61, Singapore 641638 #01-22",Yes,No,No,Yes,Indonesian,1.34195861,103.6975931,No Rating,No Reviews
Rasa Sindo Nasi Padang @ Dawson,"85 Dawson Rd, Singapore 141085",Yes,No,No,Yes,Indonesian,1.295319663,103.8097586,2.4,34.0
Buey Tahan See-food Restaurant @ Punggol Walk,"308c Punggol Walk, Singapore 823308 #01-308",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Thai, Vegetarian, Malay, Fusion, Western, Asian",1.408006949,103.8990744,3.8,218.0
AL-DIA Indian Muslim Restaurant @ Tampines Avenue 12,"622a Tampines Ave 12, Singapore 521622",No,Yes,No,Yes,Indian,1.361061853,103.940017,3.0,8.0
Al-DIA Islamic Food @ 440 Bukit Batok West Ave 8,"Blk, 440 Bukit Batok West Ave. 8, Singapore",No,Yes,No,Yes,Indian,1.3557231,103.7393032,2.6,20.0
AL-DIA Restaurant @ 177 Bukit Batok West Ave 8,"177 Bukit Batok West Ave. 8, Singapore 650177",No,Yes,No,Yes,Indian,1.346344075,103.7417421,5.0,2.0
Al Madinah Restaurant @ Orchard Plaza,"150 Orchard Rd, Singapore 238841 #01-21",No,Yes,Yes,No,"Indian, Thai, Seafood, Chinese, Opens 24 Hours",1.301257294,103.8411501,3.7,295.0
Warong Kim’s Goreng Delights @ Our Tampines Hub,"51 Tampines Ave 4, Singapore 520940",Yes,No,No,Yes,"Seafood, Singaporean, Chicken, Beef, Vegetarian, , Asian",1.3491699,103.9414213,2.5,21.0
Soulfood Nasi Lemak,"987 Serangoon Rd, Singapore 328147 #4",No,Yes,No,Yes,"Asian, Chicken, Indonesian, Malay, BBQ, Beef, Lamb",1.322231385,103.8634355,4.7,144.0
Mr Teh Tarik Makan House @ Woodlands Street 31,"306A Woodlands Street 31, Singapore 731306",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion",1.430112531,103.7750811,3.7,596.0
Mr Teh Tarik Eating House @ Geylang Serai,"1 Geylang Serai, Singapore 402001 #01-210",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion, Opens 24 Hours",1.316678856,103.8981027,3.9,431.0
Mr Teh Tarik Eating House @ Yishun Ring Road,"846 Yishun Ring Rd, Singapore 760846 #01-3603",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion, Opens 24 Hours",1.416786347,103.8346416,3.9,975.0
Mr Teh Tarik Eating House @ Jurong West Avenue 1,"456 Jurong West Ave 1, Singapore 640301",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion",1.350995,103.720743,4.1,1405.0
Al-Jalal by Habib's Rojak,"421C Northshore Dr, Singapore 823421",No,Yes,No,Yes,"Indian, Opens 24 Hours",1.419213261,103.9052999,2.6,28.0
Al Habib Indian Muslim Food @ Woodlands Industrial Park E7,"200 Woodlands Industrial Pk E7, Singapore 757177 #01-40",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",1.450749733,103.7968465,3.9,29.0
Al Habib Indian Muslim Food @ Punggol Central,"301 Punggol Central, Singapore 820301 #01-06",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",1.403719398,103.906138,3.1,62.0
Hawkerman @ Clementi Avenue 5 (Kedai Kopi),"380 Clementi Ave 5, Singapore 120380",Yes,No,Yes,No,"Asian, Singaporean, Fusion",1.318344291,103.767572,4.2,6.0
Hawkerman @ Ang Mo Kio Avenue 4 (Kedai Kopi),"Kedai Kopi, 108 Ang Mo Kio Ave 4, Singapore 560108",Yes,No,Yes,No,"Asian, Singaporean, Fusion",1.3709664,103.838202,2.7,6.0
Hawkerman @ Haig Road,"12 Haig Rd, Singapore 430012",Yes,No,Yes,No,"Asian, Singaporean, Fusion",1.315608958,103.8960813,4.0,545.0
Ma Mum @ Ng Teng Fong General Hospital Tower B,"1 Jurong East Street 21, , Tower B Ng Teng Fong General Hospital, Singapore 609606 #02-02/03",Yes,No,Yes,No,"Singaporean, Asian",1.333463114,103.7455669,2.5,36.0
Dignity Kitchen @ Boon Keng Road,"69 Boon Keng Rd, Singapore 339772",Yes,No,Yes,No,"Singaporean, Chicken, Vegetarian, Seafood",1.317147224,103.8624973,4.6,452.0
House Of Cutlet @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-39",No,Yes,No,Yes,"Western, Asian, Fusion, Malay",1.266568132,103.819248,4.4,25.0
